a_farmsy_membership_is_required_to_add_a_farm_shop	A Farmsy membership is required to add a farm shop.
add_a_farm_shop	Add a farm shop
add_it_to_the_map_for_everyone	Add it to the map for everyone
adding_farm_shops_is_a_member_feature_your_account_doesn_t_h	Adding farm shops is a member feature — your account doesn't have full access yet.
address	Address
all_categories	All Categories
all_categories_2	🍽️ All Categories
already_have_an_account	Already have an account?
an_account_with_this_email_already_exists	An account with this email already exists.
anything_we_should_know_optional	Anything we should know? (optional)
apply_code	Apply Code
arg_arg	%@ %@
arg_arg_2	%@%@
arg_farm_shops_nl_be	%@+ farm shops (NL & BE)
at_least_8_characters	At least 8 characters
belgium	Belgium
business_email	Business email
call	Call
cancel	Cancel
canceled	Canceled
change_photos	Change photos
cheese	Cheese
choose_photos	Choose photos
city	City *
city_e_g_utrecht	City, e.g. Utrecht
claim_it_to_keep_your_details_up_to_date_our_team_verifies_e	Claim it to keep your details up to date. Our team verifies every claim before handing over the keys.
claim_this_farm	Claim this farm
close	Close
confirm_password	Confirm password
contact_us	Contact us
continue_	Continue
couldn_t_load_farms_check_your_connection_and_try_again	Couldn't load farms. Check your connection and try again.
country	Country
create_account	Create account
create_one	Create one
create_your_free_account	Create your free account
dairy	Dairy
delete_account	Delete account
deleting_your_account_removes_your_profile_favourites_and_su	Deleting your account removes your profile, favourites and subscription data. Continue on your Farmsy account page, or write to hello@farmsy.app.
description	Description
directions	Directions
discover	Discover
done	Done
eggs	Eggs
email	Email
email_2	Email *
enter_code	Enter code
everything_local	Everything local
farm_name	Farm name *
farm_produce	Farm Produce
farm_shops	farm shops
farm_shops_across_nl_be	Farm shops across NL & BE
farms_across_nl_be	Farms across NL & BE
farms_within_50_km_of_arg	Farms within 50 km of %@
farms_within_50_km_of_you	Farms within 50 km of you
farmsy	Farmsy
farmsy_account	Farmsy account
farmsy_for_ios_arg	Farmsy for iOS %@
finding_farms_near_you	Finding farms near you…
first_and_last_name	First and last name
fish	Fish
for_farm_owners	For farm owners
found_a_cheese_farm_ten_minutes_from_home_fresher_than_the_s	“Found a cheese farm ten minutes from home. Fresher than the supermarket, and I know exactly who made it.”
free	Free
full_access_opening_hours_contact_details_photos_and_more_fo	Full access — opening hours, contact details, photos and more for %@ and every other farm — is managed from your Farmsy account on the web.
full_story	full story
honey	Honey
how_should_we_verify_you	How should we verify you?
i_ve_upgraded_check_again	I've upgraded — check again
in_review	in review
invalid_email_or_password	Invalid email or password.
is_arg_yours_claim_it	Is %@ yours? Claim it
is_this_your_farm_claim_it	Is this your farm? Claim it
keep_your_favourites	Keep your favourites
know_a_farm_shop_that_isn_t_on_farmsy_yet_fill_in_what_you_k	Know a farm shop that isn't on Farmsy yet? Fill in what you know — our team checks every submission before it goes live.
know_a_farm_shop_we_re_missing	Know a farm shop we're missing?
know_when_new_farms_appear	Know when new farms appear 
kvk_number	KVK number
kvk_number_2	KVK number *
loading_details	Loading details…
loading_farms	Loading farms…
local_farms_fresh_finds	Local farms, fresh finds
log_in	Log in
log_in_to_pick_up_where_you_left_off	Log in to pick up where you left off.
map	Map
markets	Markets
meat	Meat
member	Member
members_only	Members only
near_you	near you
netherlands	Netherlands
new_farm_shops_join_farmsy_every_week	New farm shops join Farmsy every week.
new_to_farmsy	New to Farmsy?
no	No
no_farms_match_your_search	No farms match your search
no_saved_farms_yet	No saved farms yet
nothing_to_discover_right_now	Nothing to discover right now
notifications	Notifications
notify_me	Notify Me
one_last_thing	One last thing
open_my_account_page	Open my account page
opening_hours	Opening hours
organic	Organic
our_team_looks_at_every_submission_once_approved_the_farm_ap	Our team looks at every submission. Once approved, the farm appears on the map for everyone.
password	Password
personalization	Personalization
phone	Phone
phone_2	Phone *
photos_up_to_5	Photos (up to 5)
pin_dropped_tap_again_to_adjust	Pin dropped. Tap again to adjust.
postal_code	Postal code
privacy_policy	Privacy Policy
produce	Produce
repeat_password	Repeat password
retry	Retry
run_by	Run by
s_6d31474e	🧺
saved	Saved
search_by_farm_city_or_postcode	Search by farm, city or postcode
see_every_farm_on_the_map_in_seconds	See every farm on the map in seconds.
send_claim	Send claim
settings	Settings
sign_in	Sign in
sign_in_to_save_farms_and_find_them_here_on_every_device	Sign in to save farms and find them here on every device.
sign_in_to_save_farms_and_see_details	Sign in to save farms and see details
sign_out	Sign out
sign_out_of_farmsy	Sign out of Farmsy?
signed_in	Signed in
skip	Skip
something_went_wrong_please_try_again	Something went wrong. Please try again.
stay_in_the_loop	Stay in the loop
street_address	Street address
street_number	Street + number
submit_farm_shop	Submit farm shop
tap_the_heart_on_any_farm_to_keep_it_here	Tap the heart on any farm to keep it here.
tap_the_map_to_drop_a_pin_optional_the_address_is_enough	Tap the map to drop a pin (optional — the address is enough).
tell_us_more_optional	Tell us more (optional)
terms_of_service	Terms of Service
thanks_it_s	Thanks — it's 
the_essentials	The essentials
too_many_attempts_please_wait_a_few_minutes_and_try_again	Too many attempts. Please wait a few minutes and try again.
trial	Trial
unlock_every_farm_s	Unlock every farm's 
use_an_email_address_on_your_farm_s_own_domain_and_we_can_ve	Use an email address on your farm's own domain and we can verify you fastest.
use_my_location	Use my location
verification	Verification
view_farm	View farm
we_ll_be_in_touch_at_arg_once_the_team_has_verified_your_cla	We'll be in touch at %@ once the team has verified your claim.
we_ve_sent_a_verification_link_to_your_email_you_can_keep_ex	📬 We've sent a verification link to your email — you can keep exploring in the meantime.
web	Web
website	Website
welcome_back	Welcome back
what_do_they_sell	What do they sell?
